,Unnamed: 0,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
0,0,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,upgi****,5,23.07.03.,"꿀스틱: 밤꿀 90포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매여러번 선물했는데 다들 좋아하세요
1,1,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,upgi****,5,23.06.07.,"꿀스틱: 밤꿀 90포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,주로 선물로 보내기 이용합니다~
2,2,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,hyuk***,5,23.02.27.,"꿀스틱: 밤꿀 90포
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,엄청 찐득 꾸덕하고 쌉싸레해서 약용효과가 있을것만같은맛이에요! 먹기 힘들면 요거트에 타먹어도 될것같아요! 기관지가 좀 안좋은편인데 꾸준히먹어보겠습니다!  (첫구매 선물도 잘 받았어요)
3,3,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,gilh***,5,23.02.06.,"꿀스틱: 밤꿀 90포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기조금 향이 약한감은있지만 맛나고 좋아요
4,4,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,ajin*****,5,23.01.07.,"꿀스틱: 밤꿀 90포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,해마다  남편이  먹는거라  재구매  했어요.  밖에서도  간편하게  먹을수  있어서  좋더라구요. 이거  먹으면  감기도  덜하고  좋아요  재구매  백퍼  입니다^^
5,5,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,wlsu*****,4,23.01.14.,"꿀스틱: 밤꿀 90포
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,"특유의 향이 심할까봐 긴가민가했는데
먹을만해요. 건강을 위해 잘 챙겨먹어보려구요"
6,6,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,blue****,5,23.01.03.,"꿀스틱: 밤꿀 90포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,약용효과가 가장 높아서 구매했어요~ 씁쓸하고 달고 딱 좋아요 :) 투명포장이라 용량도 눈에 보여서 더 좋아요
7,7,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,myun********,5,22.12.27.,"꿀스틱: 밤꿀 90포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,맛도 좋고 싸 가격에 잘 샀어요
8,8,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,dltk********,5,22.10.27.,"꿀스틱: 밤꿀 90포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"밤꿀 먹어본 적이 있는데 이렇게 
낱개 포장이 되어서 너무 좋네요 
다 먹으면 또 주문예정이요"
9,9,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,lmw2***,5,22.09.06.,"꿀스틱: 밤꿀 90포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매선물드리려고 며칠전에 구매했는데 샘플먹어보고 너무 괜찮아서 또주문했습니다!!! 포장도 뾱뾱이로 2중포장해주셔서 이번에도 하나도 안터지고 잘왔어요!! 자중 애용하게 될거같은 제품입니다!
10,10,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,lmw2***,5,22.09.02.,"꿀스틱: 밤꿀 90포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,맛보라구 샘플도 넣어주시고 포장도 뾱뾱이로 잘 감싸서 한봉도 안터지고 잘왔습니다!!! 꿀 맛도 찐해서 너무 좋아요~~
11,11,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,upgi****,5,22.10.02.,"꿀스틱: 올인원 90포[아카시아30+야생화30+밤30]
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,한달사용기선물해주신 분 만족하셔서 다음엔 밤꿀 위주로 선물 다시 해보려고요
12,12,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,tnsg***,5,22.08.17.,"꿀스틱: 올인원 90포[아카시아30+야생화30+밤30]
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"소포장 되어있어서 챙겨먹기 너무 좋아요!
한 포가 딱 한숟갈 정도 되나봐요
꿀을 더 자주 챙겨먹을 수 있게 됐어요
그리고 개인적으로는 밤꿀이 좋네요"
13,13,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,rrry******,5,22.08.26.,"꿀스틱: 올인원 90포[아카시아30+야생화30+밤30]
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"포장도 잘되있고 맛보기도 주셔서 맛도 알수있어서 
선물할때 설명하기도 좋네요~^^"
14,14,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,rrry******,5,22.08.26.,"꿀스틱: 올인원 90포[아카시아30+야생화30+밤30]
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,피곤할때 한개씩 편하게 먹기좋을듯해요
15,15,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,khry*****,5,22.09.09.,"꿀스틱: 올인원 90포[아카시아30+야생화30+밤30]
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기재구매포장이 간편해서 꾸준히 먹어요
16,16,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,khry*****,5,22.07.23.,"꿀스틱: 밤꿀 90포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매했어요. 선물용으로 너무 좋아요 4번째 구매예요~~믿고삽니다!
17,17,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,hote******,5,22.08.05.,"꿀스틱: 올인원 90포[아카시아30+야생화30+밤30]
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,+서비스밤꿀 3개.밤꿀 맛있어요.
18,18,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,upgi****,5,22.08.20.,"꿀스틱: 올인원 90포[아카시아30+야생화30+밤30]
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,받으신 분이 대 만족
19,19,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,rrry******,5,22.08.26.,"꿀스틱: 올인원 90포[아카시아30+야생화30+밤30]
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,맛있어요~~~~ ㅋ
20,20,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,khry*****,5,22.07.26.,"꿀스틱: 올인원 90포[아카시아30+야생화30+밤30]
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매재구매  4번째예요. 믿고삽니다
21,21,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,ms****,4,22.07.09.,"꿀스틱: 밤꿀 90포
",유통기한아주 넉넉해요포장적당해요편리편리해요,"밤꿀이 쌉쌀하면서도 맛있어요! 
꿀 자체는 문제 없이 잘 왔지만, 꿀이 라는게 전문가가 아니다보니 알수가 없잖아요. 포 당 용량이라던가 꿀이 대한 정보라던가 유통기한이나 생산 날짜라던지 없어서 괜찮은 제품인지 싶기도 해요. 그래도 스틱꿀 대부분은 그런 정보가 없더라구요..편리하긴한데 상세페이지 정보 보고..믿어보고 구매했습니다."
22,22,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,jwfj****,5,22.07.23.,"꿀스틱: 밤꿀 90포
",유통기한꽤 남았어요포장적당해요편리편리해요,너무 맛있어요 포장도 꼼꼼하게 잘 되어있어요 ㅎㅎ
23,23,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,desi*******,5,22.07.13.,"꿀스틱: 올인원 90포[아카시아30+야생화30+밤30]
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,너무 편리하고 좋습니다^^ 다음에도 재구매하겠습니다!!
24,24,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,ewel*****,4,22.03.11.,"꿀스틱: 밤꿀 90포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,괜찮습니다 배송빨라요
25,25,꿀스틱 90포 아카시아 야생화 밤꿀 낱개 휴대용 허니스틱 [원산지:국산(경상북도 청도군)],"50,000",4.9,musc******,5,22.02.22.,"꿀스틱: 올인원 [아카시아30포+야생화30포+밤30포]
",유통기한꽤 남았어요포장적당해요편리편리해요,"한달사용기일단 가성비가 좋아요 아카시아, 야생화,밤꿀
까지 맛도좋고 진해서 좋았어요"
