,Top Nouns,빈도수
0,고/EC,41755
1,좋/VA,37492
2,먹/VV,36799
3,도/JX,30821
4,어요/EF,25665
5,아요/EF,24535
6,았/EP,23877
7,요/JX,23402
8,어/EC,19746
9,에/JKB,19252
10,이/VCP,18980
11,기/ETN,18624
12,이/JKS,17904
13,네/EF,14890
14,ㄴ/ETM,14063
15,선물/NNG,13163
16,아서/EC,13130
17,ㅂ니다/EF,12929
18,는데/EC,12828
19,꿀/NNG,12400
20,한/MMN,12133
21,습니다/EF,11550
22,시/EP,11491
23,아/EC,11408
24,어서/EC,11302
25,게/EC,10923
26,었/EP,10639
27,으로/JKB,10271
28,너무/MAG,10156
29,포장/NNG,9174
30,편하/VA,9107
31,잘/MAG,8995
32,맛있/VA,8970
33,맛/NNG,8679
34,구매/NNG,8624
35,는/ETM,8435
36,ㄹ/ETM,8320
37,있/VA,8129
38,달/NNB,8080
39,있/VX,7741
40,로/JKB,7659
41,거/NNB,7362
42,하/VV,7319
43,보/VX,7069
44,용/XSN,7048
45,재/XPN,7039
46,사용기/NNG,6956
47,배송/NNG,6663
48,가/JKS,6600
49,ㅎ/NNG,6586
50,같/VA,6368
51,구매하/VV,5980
52,을/ETM,5928
53,은/ETM,5571
54,빠르/VA,5525
55,씩/XSN,5038
56,은/JX,4597
57,주/VX,4578
58,되/VV,4555
59,하/XSV,4480
60,을/JKO,4478
61,것/NNB,4448
62,사/VV,4419
63,들/XSN,4410
64,라/EC,4397
65,때/NNG,4362
66,주문하/VV,4239
67,좋아하/VV,4189
68,간편하/VA,4099
69,수/NNB,4017
70,받/VV,3750
71,들/VV,3707
72,선물하/VV,3657
73,스틱/NNG,3613
74,하/VX,3558
75,겠/EP,3531
76,는/JX,3501
77,사용/NNG,3253
78,감사하/VV,3184
79,ㄴ/JX,3182
80,또/MAG,3158
81,다/MAG,2998
82,니/EC,2952
83,하나/NR,2936
84,포/NNG,2738
85,만족하/VV,2695
86,오/VV,2687
87,챙기/VV,2618
88,편리하/VA,2563
89,다고/EC,2513
90,으면/EC,2504
91,깔끔하/VA,2497
92,드리/VV,2473
93,아주/MAG,2450
94,더/MAG,2416
95,지/EC,2407
96,주/VV,2266
97,지만/EC,2236
98,구/EC,2127
99,에요/EF,2115
100,지/VX,1983
101,제품/NNG,1948
102,한달/NNG,1936
103,님/XSN,1935
104,ㄴ데/EC,1930
105,면/EC,1929
106,꼼꼼하/VA,1913
107,않/VX,1909
108,보다/JKB,1897
109,진하/VA,1887
110,안/MAG,1867
111,정말/MAG,1791
112,분/NNB,1785
113,에서/JKB,1747
114,다니/VV,1742
115,보내/VV,1736
116,ㅋ/NNG,1709
117,많이/MAG,1693
118,넘/MAG,1676
119,개/NNB,1676
120,저/NP,1665
121,넣/VV,1642
122,려고/EC,1621
123,아카시아/NNG,1621
124,의/JKG,1620
125,구입하/VV,1610
126,아침/NNG,1572
127,예쁘/VA,1555
128,하/XSA,1534
129,ㅠ/NNG,1533
130,딱/MAG,1513
131,없/VA,1496
132,만/JX,1486
133,기재/NNG,1468
134,아이/NNG,1431
135,달/NNG,1407
136,좀/MAG,1383
137,괜찮/VA,1375
138,가격/NNG,1373
139,면서/EC,1347
140,번/NNB,1334
141,먹/VX,1314
142,상품/NNG,1286
143,보/VV,1278
144,ㄹ게/EF,1232
145,쓰/VV,1213
146,꾸준히/MAG,1209
147,주문/NNG,1203
148,를/JKO,1191
149,시키/VV,1183
150,타/VV,1183
151,고급스럽/VA,1167
152,샘플/NNG,1165
153,하루/NNG,1145
154,싶/VX,1145
155,어도/EC,1141
156,밤꿀/NNG,1138
157,이쁘/VA,1137
158,생각/NNG,1134
159,다가/EC,1115
160,건강/NNG,1102
161,달/VV,1098
162,다른/MMD,1097
163,더라구/EF,1091
164,부모/NNG,1074
165,으시/EP,1068
166,마다/JX,1057
167,까지/JX,1051
168,향/NNG,1041
