,sentiment_label
55173,긍정
55174,긍정
55175,긍정
55176,긍정
55177,긍정
55178,긍정
55179,긍정
55180,긍정
55181,긍정
55182,긍정
55183,긍정
55184,긍정
55185,긍정
55186,긍정
55187,긍정
55188,긍정
55189,긍정
55190,긍정
55191,긍정
55192,긍정
55193,긍정
55194,긍정
55195,긍정
55196,긍정
55197,긍정
55198,긍정
55199,긍정
55200,긍정
55201,긍정
55202,긍정
55203,긍정
55204,긍정
55205,긍정
55206,긍정
55207,긍정
55208,긍정
55209,긍정
55210,긍정
55211,긍정
55212,긍정
55213,긍정
55214,긍정
55215,긍정
55216,긍정
55217,긍정
55218,긍정
55219,긍정
55220,긍정
55221,긍정
55222,긍정
55223,긍정
55224,긍정
55225,긍정
55226,긍정
55227,긍정
55228,긍정
