,sentiment_label
2317,긍정
2318,긍정
2319,긍정
2320,긍정
2321,긍정
2322,긍정
2323,긍정
2324,긍정
2325,부정
2326,긍정
2327,긍정
2328,긍정
2329,긍정
2330,긍정
2331,긍정
2332,긍정
2333,긍정
2334,긍정
2335,긍정
2336,긍정
2337,긍정
2338,긍정
2339,긍정
2340,긍정
2341,긍정
2342,긍정
2343,긍정
2344,긍정
2345,긍정
2346,긍정
2347,긍정
2348,긍정
2349,긍정
2350,긍정
2351,긍정
2352,긍정
2353,긍정
2354,긍정
2355,긍정
2356,긍정
2357,긍정
2358,긍정
2359,긍정
2360,긍정
2361,긍정
2362,긍정
2363,긍정
2364,긍정
2365,부정
2366,긍정
2367,긍정
2368,긍정
2369,긍정
2370,긍정
2371,긍정
2372,긍정
2373,긍정
2374,긍정
2375,긍정
2376,긍정
2377,긍정
2378,긍정
2379,긍정
2380,부정
2381,긍정
2382,긍정
2383,긍정
2384,긍정
2385,긍정
2386,긍정
2387,긍정
2388,부정
2389,긍정
2390,긍정
2391,긍정
2392,긍정
2393,긍정
2394,긍정
2395,긍정
2396,긍정
2397,긍정
2398,긍정
2399,긍정
2400,긍정
2401,긍정
2402,긍정
2403,긍정
2404,긍정
2405,긍정
2406,긍정
2407,긍정
2408,긍정
2409,긍정
2410,긍정
2411,긍정
