,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
0,외국인 친구선물 좋은 박덕근 스틱 벌꿀 복주머니 선물포장 허니스틱 [원산지:국산(경상북도 예천군)],"20,000",5.0,y795***,5,23.01.13.,"벌꿀종류: 야생화 / 쇼핑백: 선택안함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,포장도 너무 예쁘고 꿀도 먹기 편하게 잘 들어있네요! 간단한 명절선물로 좋은것같아요
1,외국인 친구선물 좋은 박덕근 스틱 벌꿀 복주머니 선물포장 허니스틱 [원산지:국산(경상북도 예천군)],"20,000",5.0,ssj9***,5,23.01.14.,"벌꿀종류: 레몬꿀 / 쇼핑백: 쇼핑백
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,^^..와우~~복주머니엄청이뻐요..색깔별로챙겨주셔서~감솨..비싼것은아니지만~설날선물로 짱!이네요..비가와서날씨는흐리지만~받자마자기분이좋아지네요..사업번창~하세요..
2,외국인 친구선물 좋은 박덕근 스틱 벌꿀 복주머니 선물포장 허니스틱 [원산지:국산(경상북도 예천군)],"20,000",5.0,free********,5,23.01.13.,"벌꿀종류: 레몬꿀 / 쇼핑백: 선택안함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,지난해 구매후반응이 좋아 또 추가구매했답니다.복주머니도 고급스럽고 배송도 빨라 만족합니다
3,외국인 친구선물 좋은 박덕근 스틱 벌꿀 복주머니 선물포장 허니스틱 [원산지:국산(경상북도 예천군)],"20,000",5.0,free********,5,23.02.14.,"벌꿀종류: 레몬꿀 / 쇼핑백: 선택안함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기지인들 선물로 탁월했답니다!
4,외국인 친구선물 좋은 박덕근 스틱 벌꿀 복주머니 선물포장 허니스틱 [원산지:국산(경상북도 예천군)],"20,000",5.0,best*********,5,23.01.28.,"벌꿀종류: 페파민트 / 쇼핑백: 쇼핑백
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,포장이 꼼꼼하고 스티커로 구분할 수 있어서 좋았어요 ~~
5,외국인 친구선물 좋은 박덕근 스틱 벌꿀 복주머니 선물포장 허니스틱 [원산지:국산(경상북도 예천군)],"20,000",5.0,best*********,5,23.01.28.,"벌꿀종류: 야생화 / 쇼핑백: 쇼핑백
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,복주머니가 예뻐서 선물용으로 좋았어요 ~~^^
6,외국인 친구선물 좋은 박덕근 스틱 벌꿀 복주머니 선물포장 허니스틱 [원산지:국산(경상북도 예천군)],"20,000",5.0,dlgm*******,5,23.01.24.,"벌꿀종류: 레몬꿀 / 쇼핑백: 선택안함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"재구매 했는데 늦은 시간에도 친절하게 안내해주시고, 상품도 잘 받았습니다!"
7,외국인 친구선물 좋은 박덕근 스틱 벌꿀 복주머니 선물포장 허니스틱 [원산지:국산(경상북도 예천군)],"20,000",5.0,ifyu***,5,23.01.27.,"벌꿀종류: 레몬꿀 / 쇼핑백: 쇼핑백
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,아쥬아쥬만족스러웡요 번창하세용 ㅎㅎㅎ
8,외국인 친구선물 좋은 박덕근 스틱 벌꿀 복주머니 선물포장 허니스틱 [원산지:국산(경상북도 예천군)],"20,000",5.0,zxui****,5,23.01.22.,"벌꿀종류: 레몬꿀 / 쇼핑백: 선택안함
",유통기한꽤 남았어요포장적당해요편리그냥그래요,복주머니 너므 이뻐요
9,외국인 친구선물 좋은 박덕근 스틱 벌꿀 복주머니 선물포장 허니스틱 [원산지:국산(경상북도 예천군)],"20,000",5.0,zxui****,5,23.01.22.,"벌꿀종류: 야생화 / 쇼핑백: 쇼핑백
",유통기한꽤 남았어요포장적당해요편리그냥그래요,아카시아꿀이 있었으면 좋겟ㅇ요
