,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
0,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,bya1***,5,23.08.10.,"지리산 꿀스틱: 약초꽃꿀20포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,지인추천으로 구매해봤어요 달달하네요
1,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,swit***,4,23.08.14.,"지리산꿀스틱: 일반포장(100포)
",유통기한꽤 남았어요포장적당해요편리편리해요,한달사용기꿀맛나게 먹고 있어요
2,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,sin7***,5,23.08.08.,"지리산 꿀스틱: 밤꽃꿀20포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,개별스틱이여서  가지고다니기도 편하고좋아요
3,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,gb****,5,23.08.14.,"지리산 꿀스틱: 약초꽃꿀20포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매건강한 수험생활을 돕기위해 지리산꿀을 꾸준히 먹습니다. 꽃향기가 나는 찐한 천연벌꿀 스틱으로 가볍게즐길수있어 좋습니다
4,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,sin7***,5,23.08.08.,"지리산 꿀스틱: 약초꽃꿀20포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,배송도 빠르고 간편해서좋아요
5,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,dp****,5,23.08.14.,"지리산 꿀스틱: 선물세트반반40포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매달지 않고 맛있어요
6,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,dp****,5,23.08.14.,"지리산 꿀스틱: 선물세트반반40포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매선물용으로 구입했어요
7,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,hs_k****,5,23.07.21.,"지리산꿀스틱: 일반포장(50포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"한달사용기먹기 편하고, 휴대하기 좋고... 최곱니다."
8,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,kjr1***,4,23.07.28.,"지리산 꿀스틱: 선물세트반반40포
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,휴대하기 편해서 사봤는데 꿀맛이 너무 좋네요
9,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,hs_k****,5,23.06.20.,"지리산꿀스틱: 일반포장(50포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,국내산 좋은 꿀 잘 받았습니다. 먹기 참 편할 것 같아요. 또 주문하겠습니다~
10,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,amye***,5,23.07.04.,"지리산꿀스틱: 일반포장(20포)
",유통기한꽤 남았어요포장적당해요편리편리해요,"재구매먹기 편리하고 맛도 좋아요~^^
피곤할때 한개씩 꺼내 먹습니다. 배송도 빠르구요"
11,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,gb****,5,23.07.11.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한번먹기좋은 양이라 간편하고 포장재질이 튼튼해서 터질걱정없네요
