,nouns
0,끼
1,대용
2,아침
3,톳
4,주문
5,지난번
6,또
7,시
8,기억
9,재
10,밥
11,양
12,맛
13,추천
14,계속
15,진짜
16,감칠맛
17,대박
18,양념장
19,항상
20,아이
21,먼저
22,문어
23,솥밥
24,생각
25,밀
26,키트
27,가족
28,후기
29,기대
30,정말
31,봉지
32,더
33,반찬
34,김이랑
35,전복
36,새우
37,아주
38,거
39,중
40,최고
41,내
42,인분
43,정도
44,좀
45,비려
46,설명
47,밥솥
48,제대로
49,해
50,조금
51,추가
52,게
53,날
54,때
55,저
56,간장
57,안
58,간이
59,밥맛
60,먹기
61,식구
62,불
63,전
64,나중
65,듯
66,처음
67,양념
68,식사
69,둘
70,집
71,해물
72,조리법
73,조미
74,김
75,운
76,꿀맛
77,남편
78,다른
79,오
80,다음
81,조리
82,시간
83,것
84,구매
85,의사
86,바다
87,향
88,이
89,일
90,평소
91,편이
92,육수
93,반
94,만들기
95,조합
96,후
97,존
98,여러
99,번
100,사
101,식감
102,전혀
103,질겨
104,매력
105,와우
106,보고
107,종종
108,냄비
109,첫
110,시도
111,양도
112,간도
113,꽤
114,못
115,비리
116,혹시
117,해산물
118,제거
119,부모님
120,위해
121,제일
122,해결
123,전기밥솥
124,쌀
125,컵
126,표고버섯
127,맛술
128,백미
129,취사
130,두
131,새벽
132,배송
133,종이
134,수
135,가끔
136,냉동
137,영양
138,가지
139,품절
140,그냥
141,요
142,저녁
143,지은
144,그것
145,자마자
146,동봉
147,가성
148,비
149,사진
150,질
151,걱정
152,만큼
153,소스
154,어른
155,꼭
156,라면
157,물
158,과
159,덜
160,세
161,부분
162,제
163,무엇
164,마음
165,구입
166,메뉴
167,도
168,류
169,얼마나
170,분위기
171,냄새
172,늘
173,실
174,공기
175,기준
176,그릇
177,해먹
178,요즘
179,엄마
180,물이
181,오히려
182,그게
183,여기
184,참기름
185,기지
186,다만
187,굿
188,보관
189,워낙
190,친구
191,신랑
192,몸
193,손님
194,대접
195,요리
196,저희
197,제품
198,살짝
199,이번
200,입맛
201,역시
202,편
203,거의
204,간
205,나
206,불리
207,굳이
208,하나
209,자주
210,사서
211,명
212,이서
213,살
214,몇
215,개
216,쟁여두
217,매우
218,이상
219,냉장고
220,쟁
221,템
222,필요
223,오늘
224,미나리
225,우리
226,입
227,바로
228,다시
229,인
230,분
231,재료
232,먹음
233,별로
234,기도
235,반응
236,시식
237,내용물
238,뚝딱
239,김치
240,매각
241,기본
242,용
243,토핑
244,담
245,비빔
246,조절
247,파
248,간간
249,프로
250,성인
251,아기
252,약간
253,저번
254,달
255,기고
256,미네
257,브랜드
258,걸
259,특식
260,포함
261,온
262,대신
263,현미
264,레시피
265,차이
266,볼
267,예정
268,적
269,솥
270,심지어
271,솥밥해
272,해동
273,뜸
274,상품
275,음식
276,기분
277,포장
278,사용
279,셋
280,시리즈
281,굿굿
282,전이
283,구성
284,고급
285,하니
286,차려
287,려고
288,사람
289,느낌
290,내장
291,자체
292,집들이
293,첨가
294,쫄깃
295,별미
296,예전
297,보지
298,미가
299,특유
300,건가
301,별
302,상
303,한번
304,만족
305,마켓
306,강
307,할인
308,압력솥
309,아들
310,네
311,일해
312,팩
313,평이
314,무난
315,낼
316,주물
317,실패
318,압력밥솥
319,엄지
320,척
321,버섯
322,그
323,수도
324,넣기
325,음
326,듬뿍
327,맘
328,뭐
329,강추
330,준비
331,인덕션
332,정량
333,사실
334,자극
335,미림
336,벌써
337,땜
338,해도
339,만해
340,그다지
341,밭
342,중이
343,분량
344,참고
345,감동
346,밖
347,컬리
348,사면
349,이건
350,짱
351,비주
352,만족도
353,돌솥
354,기념
355,젤
356,점심
357,도전
358,문제
359,건
360,만
361,원
362,가격
363,대비
364,직접
365,영양가
366,양으로
367,스타
368,스타우트
369,라이스
370,존맛
371,버튼
372,아빠
373,리뷰
374,완성
375,종류
376,앞
377,그대로
378,확
379,함
380,막
381,위
382,줄
383,인기
384,보
385,캠핑
386,굴
387,어머니
388,내일
389,베이스
390,냉장
391,다가
392,양은
393,조각
394,애
395,무조건
396,상태
397,장도
398,평
399,개인
400,때문
401,배
402,감
403,고
404,별식
405,국물
406,쪽파
407,건강
408,의향
409,누룽지
410,뒤
411,모든
412,이브
413,대요
414,지인
415,외식
416,가장
417,잘못
418,주말
419,건더기
420,쓱쓱
421,대충
422,소
423,은행
424,밤
425,이제
426,돌솥밥
427,송송
428,비릿
429,표고
430,어요
431,버터
432,밑
433,부추
434,부어
435,달래
436,단
437,미리
438,눈
439,가능
440,식당
441,밀키
442,알
443,등
444,일반
445,지금
446,산
447,나머지
448,싹싹
449,잡곡
450,일주일
451,런가
452,대로
453,나름
454,너
455,무
456,최애
457,말
458,점
459,성공
460,여자
461,모두
462,마리
463,영양식
464,거기
465,가득
466,생일
467,밥상
468,맛남
469,장
470,데
471,금방
472,이유
473,보양식
474,발견
475,집밥
476,비교
477,애용
478,재주
479,일품
480,유통
481,기한
482,마늘
483,사이즈
484,채수
485,인용
486,정성
487,야채
488,첨
489,슴슴
490,초대
491,봄
492,스타일
493,혼자
494,흠
495,방법
496,적지
497,식
498,조화
499,실망
500,취향
501,손질
502,일단
503,끝
504,이용
505,나물
506,퀄리티
507,고명
508,완전
509,불로
510,고민
511,달라
512,매콤
513,똥
514,손
515,기
516,얼
517,신의
518,덕분
519,치즈
520,룸
521,얼른
522,크림소스
523,리소토
524,바질
525,크리미
526,딸
527,움
528,젓갈
529,언제
530,매장
531,테이
532,스팅
533,매번
534,북향
535,밥알
536,파티
537,간편
538,크림
539,파스타
540,니
541,죽
542,전복죽
543,힘
544,간단
545,보통
546,뭔가
547,아쉬움
548,각
549,자꾸
550,레스토랑
551,부담
552,우유
553,칭찬
554,쫑쫑
555,크게
556,여
557,땐
558,은근
559,맛집
560,계란
561,품질
562,별도
563,왜
564,신경
565,통
566,보기
567,아이템
568,장맛
569,호불호
570,고요
571,원래
572,줌
573,맛날
574,진
575,번은
576,선물
577,우선
578,표
579,짐
580,과정
581,마지막
582,중간
583,고기
584,채소
585,무슨
586,살이
587,눌
588,전체
589,사고
590,작
591,아예
592,경우
593,뿌리
594,소고기
595,세상
596,장바구니
597,기름
598,초
599,돈
600,작고
601,크기
602,반신반의
603,특별
604,무쇠
605,다시마
606,들기름
607,콜린스
608,다이닝
609,도미
610,생일상
611,뚜껑
612,생
613,슴슴해
614,자신
615,보신
616,술
617,숭늉
618,된장
619,세지
620,소라
621,쿠쿠
622,지고
623,생선
624,필수
625,둘이서
626,생신
627,바닥
628,한우
